factor_i,factor_j,threshold_u,chi_hat,chibar_hat,eta_hat,cluster,selected_block,data_vintage,run_id,config_hash,git_hash,code_version,run_timestamp
Mkt-RF,SMB,0.95,0.13046815042210283,0.18921346367481773,0.7087018076958583,0,0,2026-05-26,F15_live,6fb20bd6158d7c8430560d8a7939f7cdbf4a03137ff0f1dd0b58e4a22790e9cb,52af3e0,0.1.0,2026-05-26T15:14:52+00:00
Mkt-RF,HML,0.95,0.23426838514025777,0.3492371041303315,1.0903957878062658,1,1,2026-05-26,F15_live,6fb20bd6158d7c8430560d8a7939f7cdbf4a03137ff0f1dd0b58e4a22790e9cb,52af3e0,0.1.0,2026-05-26T15:14:52+00:00
SMB,HML,0.95,0.12964366944655042,0.19059948328496978,0.7678185895069585,0,0,2026-05-26,F15_live,6fb20bd6158d7c8430560d8a7939f7cdbf4a03137ff0f1dd0b58e4a22790e9cb,52af3e0,0.1.0,2026-05-26T15:14:52+00:00
