seed,design,alpha_bar,alpha_min,n,kappa,lambda_n,rate_hat,common_alpha_flag,theory_tag,run_id,config_hash,git_hash,code_version,run_timestamp
367776961,common_alpha_1.5,1.5,1.5,20000,3.0014681375761256,16.578320523742494,1.8402340285437362,1,N^alpha - 1,F4_default,125ebcfe65a5cd715e2d1db2152ff676f8fa4f5d8f679a4345deaa34dc81dc3f,2484d30,0.1.0,2026-05-25T22:35:50+00:00
3166742020,common_alpha_2,2.0,2.0,20000,4.443071782035465,14.193502037674698,0.7189900908760269,1,N^alpha - 1,F4_default,125ebcfe65a5cd715e2d1db2152ff676f8fa4f5d8f679a4345deaa34dc81dc3f,2484d30,0.1.0,2026-05-25T22:35:50+00:00
1587198119,common_alpha_2.5,2.5,2.5,20000,5.907765612345899,13.565575815412663,0.3886795755315063,1,N^alpha - 1,F4_default,125ebcfe65a5cd715e2d1db2152ff676f8fa4f5d8f679a4345deaa34dc81dc3f,2484d30,0.1.0,2026-05-25T22:35:50+00:00
759788228,common_alpha_3,3.0,3.0,20000,7.3740981216678305,14.76529413428024,0.2715340382783946,1,N^alpha - 1,F4_default,125ebcfe65a5cd715e2d1db2152ff676f8fa4f5d8f679a4345deaa34dc81dc3f,2484d30,0.1.0,2026-05-25T22:35:50+00:00
3439617891,common_alpha_4,4.0,4.0,20000,10.292499751883378,22.19010031585351,0.20946792721170882,1,N^alpha - 1,F4_default,125ebcfe65a5cd715e2d1db2152ff676f8fa4f5d8f679a4345deaa34dc81dc3f,2484d30,0.1.0,2026-05-25T22:35:50+00:00
3544370184,hetero_spread1,2.5,1.5,20000,4.168181906137636,55.86773125967976,3.2156421107309803,0,alpha_min dominates,F4_default,125ebcfe65a5cd715e2d1db2152ff676f8fa4f5d8f679a4345deaa34dc81dc3f,2484d30,0.1.0,2026-05-25T22:35:50+00:00
2673505557,hetero_spread2,2.066666666666667,1.2,20000,3.2469327977359583,50.07706304599413,4.7499851297376985,0,alpha_min dominates,F4_default,125ebcfe65a5cd715e2d1db2152ff676f8fa4f5d8f679a4345deaa34dc81dc3f,2484d30,0.1.0,2026-05-25T22:35:50+00:00
3893573264,hetero_spread3,2.3333333333333335,1.8,20000,4.844149518847513,22.967377914482892,0.9787602820108942,0,alpha_min dominates,F4_default,125ebcfe65a5cd715e2d1db2152ff676f8fa4f5d8f679a4345deaa34dc81dc3f,2484d30,0.1.0,2026-05-25T22:35:50+00:00
