experiment,target,estimators,forecast_levels,output_files,status,run_id,config_hash,git_hash,code_version,run_timestamp
Public Fama-French data,"tab:data-panels, tab:tail-index-placeholder, tab:tail-dep-placeholder, tab:var-es-backtest-placeholder, tab:crisis-attribution-placeholder, fig:tail-dep-heatmap-placeholder, fig:var-es-dashboard-placeholder, fig:spectral-by-period-placeholder, fig:hill-plots-placeholder",independent;latent_shock;spectral,"0.99, 0.995, 0.999","F15_tail_dependence_heatmap.csv, F16_var_es_dashboard.csv, F17_spectral_by_period.csv, F18_hill_plots.csv, T_data_panels.csv, T_tail_index_placeholder.csv, T_dependence_diagnostic_placeholder.csv, T_var_es_backtest_placeholder.csv, T_crisis_attribution_placeholder.csv",planned,T_realdata_experiments_default,f35f6380bb90a4cf99a7b9a73052889fd01268ab18d1744e39b53085a02490f9,660f0ec,0.1.0,2026-05-25T18:36:55+00:00
CRSP licensed extension,"fig:tail-dep-heatmap-placeholder, fig:var-es-dashboard-placeholder",independent;latent_shock;spectral,"0.99, 0.995, 0.999","F15_tail_dependence_heatmap.csv, F16_var_es_dashboard.csv",optional/planned,T_realdata_experiments_default,f35f6380bb90a4cf99a7b9a73052889fd01268ab18d1744e39b53085a02490f9,660f0ec,0.1.0,2026-05-25T18:36:55+00:00
