family,estimator,threshold,rel_error,wnre,runtime,bias,coverage,run_id,config_hash,git_hash,code_version,run_timestamp
Family I,independent_cdmc,10.0,0.0023838714536990224,0.011595312982398694,0.0011829579016193748,0.04208402958280881,0.0,F14_default,f207d329737adc4240ae2938db7eec39e70ef710b5e810efc59ae6b268288431,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
Family II,latent_shock_cdmc,10.0,0.0025955493496075182,0.015247609756858222,0.0017254999838769436,0.0,1.0,F14_default,f207d329737adc4240ae2938db7eec39e70ef710b5e810efc59ae6b268288431,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
Family V,spectral_cdmc,10.0,2.4680678563657096e-18,5.184412309216839e-18,0.00022062507923692465,0.0,1.0,F14_default,f207d329737adc4240ae2938db7eec39e70ef710b5e810efc59ae6b268288431,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
