window,axis_share,latent_shock_share,block_share,spectral_sector_share,hidden_cone_share,dominant_driver,status,run_id,config_hash,git_hash,code_version,run_timestamp
tail-1pct,0.5814652910029495,0.0,0.253654538707806,0.16488017028924445,0.0,Mkt-RF,complete,T_crisis_default,1b39c4acaaa876bc4fb92a4873bf0755bb8b40d5894e9c16ef7155fa52563d13,ff4006c,0.1.0,2026-05-26T14:44:25+00:00
tail-0p1pct,0.5706642122210729,0.0,0.24685341614364856,0.18248237163527856,0.0,Mkt-RF,complete,T_crisis_default,1b39c4acaaa876bc4fb92a4873bf0755bb8b40d5894e9c16ef7155fa52563d13,ff4006c,0.1.0,2026-05-26T14:44:25+00:00
