period,theta_1,theta_2,theta_3,theta_4,theta_5,weight,axis_flag,block_flag,stress_flag,data_vintage,run_id,config_hash,git_hash,code_version,run_timestamp
early,0.5652959640182876,0.2503594359354296,0.18434460004628278,0.0,0.0,1.0,0,0,0,synthetic-v1,F17_default,bfb0d92c62994434b4955661d116f5a08f71002cda664c80abceab0a386fe975,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
middle,0.5536520144802846,0.2630427935944363,0.18330519192527914,0.0,0.0,1.0,0,0,0,synthetic-v1,F17_default,bfb0d92c62994434b4955661d116f5a08f71002cda664c80abceab0a386fe975,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
late,0.5525709343818744,0.2653205310093954,0.1821085346087299,0.0,0.0,1.0,0,0,0,synthetic-v1,F17_default,bfb0d92c62994434b4955661d116f5a08f71002cda664c80abceab0a386fe975,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
