model,estimator,phase,n_replications,tail_evaluations,runtime_seconds,variance,work_normalized_variance,status,run_id,config_hash,git_hash,code_version,run_timestamp
FF,independent,production,5000,15000,0.00033070798963308334,0.0005421424716722878,1.7929084690145313e-07,complete,T_runtime_default,da276a3737185b2d9ef98ea30015c86a33791871409d8e0bcdc1c253f1bb3aa6,ff4006c,0.1.0,2026-05-26T14:44:26+00:00
FF,latent_shock,production,5000,10000,0.0004641249543055892,0.0066803180304631895,3.1005023006355314e-06,complete,T_runtime_default,da276a3737185b2d9ef98ea30015c86a33791871409d8e0bcdc1c253f1bb3aa6,ff4006c,0.1.0,2026-05-26T14:44:26+00:00
FF,spectral,production,5000,5000,7.570802699774504e-05,1.2369351525701678e-35,9.364591992524214e-40,complete,T_runtime_default,da276a3737185b2d9ef98ea30015c86a33791871409d8e0bcdc1c253f1bb3aa6,ff4006c,0.1.0,2026-05-26T14:44:26+00:00
