design,N,alpha,x,n,first_order,second_order,mu_hat,rel_error,wnre,runtime_seconds,status,run_id,config_hash,git_hash,code_version,run_timestamp
pareto_N3,3,2.0,5.0,5000,0.12,0.312,0.47790788132853995,0.5317560298991665,0.007019544919933968,0.0003682500100694597,complete,T_sim_indep_default,957cf9b13c221eb1e0939bdd1749a1c58d2b70f677bd195361b898d6a08002b1,c3ba942,0.1.0,2026-05-26T04:52:54+00:00
pareto_N3,3,2.0,10.0,5000,0.03,0.054,0.07112375520526563,0.31710657787528956,0.0052041739096056975,0.00024291599402204156,complete,T_sim_indep_default,957cf9b13c221eb1e0939bdd1749a1c58d2b70f677bd195361b898d6a08002b1,c3ba942,0.1.0,2026-05-26T04:52:54+00:00
pareto_N3,3,2.0,20.0,5000,0.0075,0.010499999999999999,0.011782776707030936,0.12216921019342254,0.0054490466352863105,0.0003953329869545996,complete,T_sim_indep_default,957cf9b13c221eb1e0939bdd1749a1c58d2b70f677bd195361b898d6a08002b1,c3ba942,0.1.0,2026-05-26T04:52:54+00:00
lomax_N4,4,2.5,4.0,5000,0.07155417527999328,0.22780417527999328,0.1649573848446103,0.2758807662683891,0.008443974075509423,0.00033941701985895634,complete,T_sim_indep_default,957cf9b13c221eb1e0939bdd1749a1c58d2b70f677bd195361b898d6a08002b1,c3ba942,0.1.0,2026-05-26T04:52:54+00:00
lomax_N4,4,2.5,8.0,5000,0.01646090534979424,0.030271584669843997,0.030766088947351944,0.016335592698606332,0.008310586241091813,0.00029499997617676854,complete,T_sim_indep_default,957cf9b13c221eb1e0939bdd1749a1c58d2b70f677bd195361b898d6a08002b1,c3ba942,0.1.0,2026-05-26T04:52:54+00:00
lomax_N4,4,2.5,16.0,5000,0.0033568944641706984,0.004577597589170698,0.004786718443959885,0.04568353830050668,0.006174771541285339,0.00028733297949656844,complete,T_sim_indep_default,957cf9b13c221eb1e0939bdd1749a1c58d2b70f677bd195361b898d6a08002b1,c3ba942,0.1.0,2026-05-26T04:52:54+00:00
