family,design,estimator,x,mu_hat,ref_mu,rel_error,wnre,runtime_seconds,status,run_id,config_hash,git_hash,code_version,run_timestamp
Family II,family2_latent,latent_shock_cdmc,10.0,0.21452364506119137,,,0.008634342736964897,0.0005510000046342611,complete,T_sim_dep_default,1eb22f05da86b719ecad77eb42251ed5c5784b8acaaeb4f672a3cb356bcbe757,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Family V,family5_dirichlet,spectral_cdmc,10.0,0.009999999999999997,,,3.220470382267163e-18,8.604198228567839e-05,complete,T_sim_dep_default,1eb22f05da86b719ecad77eb42251ed5c5784b8acaaeb4f672a3cb356bcbe757,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Family VI,family6_hidden::empirical,empirical,10.0,0.00822,0.00822,0.0,0.0,0.0,complete,T_sim_dep_default,1eb22f05da86b719ecad77eb42251ed5c5784b8acaaeb4f672a3cb356bcbe757,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Family VI,family6_hidden::eta,ledford_tawn_eta,10.0,1.5272471741347666,3.0,0.49091760862174444,0.0,0.0,complete,T_sim_dep_default,1eb22f05da86b719ecad77eb42251ed5c5784b8acaaeb4f672a3cb356bcbe757,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Family VI,family6_hidden::cone_mass,cone_mass,10.0,3.265072210250118,3.0,0.08835740341670606,0.0,0.0,complete,T_sim_dep_default,1eb22f05da86b719ecad77eb42251ed5c5784b8acaaeb4f672a3cb356bcbe757,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
