seed,design,x,observed_constant,latent_constant,empirical_tail,ci_low,ci_high,attribution_class,run_id,config_hash,git_hash,code_version,run_timestamp
2587984608,common_shock_positive,5.0,0.1264,0.3536,0.99988,0.999812107682249,0.9999478923177509,axis,F11_default,d101323b07d5e2b88e632ea6196857a0942164832a50c3ece190714de5ad4bc3,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
174020255,common_shock_positive,10.0,0.0316,0.0884,0.25768,0.2549692341355031,0.26039076586449694,axis,F11_default,d101323b07d5e2b88e632ea6196857a0942164832a50c3ece190714de5ad4bc3,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
30175707,common_shock_positive,20.0,0.0079,0.0221,0.03805,0.03686420490001013,0.039235795099989874,axis,F11_default,d101323b07d5e2b88e632ea6196857a0942164832a50c3ece190714de5ad4bc3,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
2350637429,common_shock_positive,40.0,0.001975,0.005525,0.00695,0.006435086792595101,0.007464913207404898,axis,F11_default,d101323b07d5e2b88e632ea6196857a0942164832a50c3ece190714de5ad4bc3,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
73417789,common_shock_positive,80.0,0.00049375,0.00138125,0.00172,0.0014631695693544085,0.0019768304306455914,axis,F11_default,d101323b07d5e2b88e632ea6196857a0942164832a50c3ece190714de5ad4bc3,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
