panel,source,frequency,start_date,end_date,n_assets_or_portfolios,n_obs,missing_rate,vintage,checksum,status,run_id,config_hash,git_hash,code_version,run_timestamp
FF3_daily,synthetic,daily,2005-11-02,2024-12-31,4,5000,0.0,synthetic-v1,synthetic,loaded,T_data_panels_default,791debefc975b434f78562224a12e2a12a6aacea5fea2e58b3e402ff7672d4cd,660f0ec,0.1.0,2026-05-25T18:36:26+00:00
FF5_daily,synthetic,daily,2005-11-02,2024-12-31,4,5000,0.0,synthetic-v1,synthetic,loaded,T_data_panels_default,791debefc975b434f78562224a12e2a12a6aacea5fea2e58b3e402ff7672d4cd,660f0ec,0.1.0,2026-05-25T18:36:26+00:00
FF5_mom_daily,synthetic,daily,2005-11-02,2024-12-31,4,5000,0.0,synthetic-v1,synthetic,loaded,T_data_panels_default,791debefc975b434f78562224a12e2a12a6aacea5fea2e58b3e402ff7672d4cd,660f0ec,0.1.0,2026-05-25T18:36:26+00:00
