factor_i,factor_j,threshold_u,chi_hat,chibar_hat,eta_hat,cluster,selected_block,data_vintage,run_id,config_hash,git_hash,code_version,run_timestamp
Mkt-RF,SMB,0.95,0.612,0.7183496067583428,0.9284848702495883,1,1,synthetic-v1,F15_default,b7b1f14850fb033a6e364424225fd8ab192a63888ab1fde6b2b32933cce12865,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
Mkt-RF,HML,0.95,0.456,0.584626521411042,1.0824748306749168,0,0,synthetic-v1,F15_default,b7b1f14850fb033a6e364424225fd8ab192a63888ab1fde6b2b32933cce12865,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
SMB,HML,0.95,0.368,0.4995889341377566,0.990229772538849,0,0,synthetic-v1,F15_default,b7b1f14850fb033a6e364424225fd8ab192a63888ab1fde6b2b32933cce12865,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
