seed,design,alpha_bar,alpha_min,n,kappa,lambda_n,rate_hat,common_alpha_flag,theory_tag,run_id,config_hash,git_hash,code_version,run_timestamp
803261128,amin_1.2,3.733333333333333,1.2,20000,3.433633901505782,843.5407067268793,843.5407067268793,0,N^1.2 - 1,F5_default,9e6518f76e93e74e4b9a4c21ad8d3cfe22ea4430c972046b85a4bff6152097db,ff4006c,0.1.0,2026-05-26T14:39:38+00:00
3767054407,amin_1.5,3.8333333333333335,1.5,20000,4.291277268069648,504.73738830901675,504.73738830901675,0,N^1.5 - 1,F5_default,9e6518f76e93e74e4b9a4c21ad8d3cfe22ea4430c972046b85a4bff6152097db,ff4006c,0.1.0,2026-05-26T14:39:38+00:00
3210010690,amin_1.8,3.9333333333333336,1.8,20000,5.1499615706260995,348.0027522836559,348.0027522836559,0,N^1.8 - 1,F5_default,9e6518f76e93e74e4b9a4c21ad8d3cfe22ea4430c972046b85a4bff6152097db,ff4006c,0.1.0,2026-05-26T14:39:38+00:00
2928346150,amin_2.2,4.066666666666666,2.2,20000,6.292732604177572,195.260792967887,195.260792967887,0,N^2.2 - 1,F5_default,9e6518f76e93e74e4b9a4c21ad8d3cfe22ea4430c972046b85a4bff6152097db,ff4006c,0.1.0,2026-05-26T14:39:38+00:00
3860361780,amin_2.6,4.2,2.6,20000,7.435738266290198,161.2745537479611,161.2745537479611,0,N^2.6 - 1,F5_default,9e6518f76e93e74e4b9a4c21ad8d3cfe22ea4430c972046b85a4bff6152097db,ff4006c,0.1.0,2026-05-26T14:39:38+00:00
4170728348,amin_3,4.333333333333333,3.0,20000,8.575460419647928,115.73853526539347,115.73853526539347,0,N^3 - 1,F5_default,9e6518f76e93e74e4b9a4c21ad8d3cfe22ea4430c972046b85a4bff6152097db,ff4006c,0.1.0,2026-05-26T14:39:38+00:00
