seed,design,N,alpha,x,n,estimator,pilot_rule,mu_hat,variance,rel_sd,ci_low,ci_high,rho_squared,runtime_seconds,centering_status,run_id,config_hash,git_hash,code_version,run_timestamp
3833729720,surrogate_loss,3,2.0,10.0,5000,cv_loss,sample_split_sqrt,0.04058126357094911,0.00016526429407154544,0.0045117028806540265,0.0402224125816843,0.04094011456021392,7.931130581902698e-05,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
3833729720,surrogate_second_largest_shift,3,2.0,10.0,5000,cv_second_largest_shift,sample_split_sqrt,0.025013005148379532,0.12096878488379767,0.19803745064601086,0.015304300477126338,0.034721709819632726,0.8859020513124615,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
3833729720,surrogate_max_coord,3,2.0,10.0,5000,cv_max_coord,sample_split_sqrt,0.04018721208737126,7.594487020004987e-05,0.0030884308617670953,0.03994395032236975,0.04043047385237278,0.6867965029765171,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
2635872493,surrogate_loss,3,2.0,10.0,5000,cv_loss,sample_split_sqrt,0.04068730238513063,0.0001856705939304294,0.0047696796057222195,0.040306941197544646,0.041067663572716614,0.009084464124242396,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
2635872493,surrogate_second_largest_shift,3,2.0,10.0,5000,cv_second_largest_shift,sample_split_sqrt,0.03495091679156736,0.023592547642808173,0.06259006298573408,0.03066333861481926,0.039238494968315454,0.6302626596262927,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
2635872493,surrogate_max_coord,3,2.0,10.0,5000,cv_max_coord,sample_split_sqrt,0.03929487752926658,8.165557679211313e-05,0.003275167579160348,0.039042635438893934,0.03954711961963923,0.7116912160314812,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
3646854606,surrogate_loss,3,2.0,10.0,5000,cv_loss,sample_split_sqrt,0.040766016164273264,0.0001956318115168253,0.0048865011603667465,0.04037558509549871,0.041156447233047816,1.2877202109864996e-05,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
3646854606,surrogate_second_largest_shift,3,2.0,10.0,5000,cv_second_largest_shift,sample_split_sqrt,0.03983614865337707,0.0024616687247224667,0.017738381867459983,0.03845118162173161,0.04122111568502253,0.34243791080389857,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
3646854606,surrogate_max_coord,3,2.0,10.0,5000,cv_max_coord,sample_split_sqrt,0.04126014116819405,9.383874294187153e-05,0.0033437740382457,0.040989735542901154,0.041530546793486944,0.6213260596069983,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
973798132,surrogate_loss,3,2.0,10.0,5000,cv_loss,sample_split_sqrt,0.04094805587630001,0.0001951731418183922,0.004859071389440787,0.040558082769826,0.04133802898277402,0.0016423956918072571,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
973798132,surrogate_second_largest_shift,3,2.0,10.0,5000,cv_second_largest_shift,sample_split_sqrt,0.02546470993354234,0.17289323234955478,0.2325556009802857,0.013857879807816902,0.03707154005926778,0.9178157417986182,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
973798132,surrogate_max_coord,3,2.0,10.0,5000,cv_max_coord,sample_split_sqrt,0.04175532767563481,9.529322207524664e-05,0.0033296275017068873,0.04148283449560465,0.04202782085566496,0.40805042730684343,0.0,sample_split,F6_default,32860d46c8a4279928e819f5cbb9bf38038f59beca455e14c0cde2c52b1302fe,ff4006c,0.1.0,2026-05-26T14:39:39+00:00
