seed,design,x,axis_term,hidden_pair_term,marginal_second_order,empirical_tail,selected_scale,run_id,config_hash,git_hash,code_version,run_timestamp
2587984608,hidden_pair_alpha_3,5.0,0.032155,0.00064,0.001004999999999999,0.03316,0.008,F13_default,ef2a76df059d263eaabb772da17218ece96db2137cc9a563234de5403621c843,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
174020255,hidden_pair_alpha_3,10.0,0.00777,7.5e-05,0.00013000000000000077,0.0079,0.001,F13_default,ef2a76df059d263eaabb772da17218ece96db2137cc9a563234de5403621c843,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
30175707,hidden_pair_alpha_3,20.0,0.001895,1.5e-05,2.5000000000000066e-05,0.00192,0.000125,F13_default,ef2a76df059d263eaabb772da17218ece96db2137cc9a563234de5403621c843,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
2350637429,hidden_pair_alpha_3,40.0,0.000435,0.0,0.0,0.000435,1.5625e-05,F13_default,ef2a76df059d263eaabb772da17218ece96db2137cc9a563234de5403621c843,ff4006c,0.1.0,2026-05-26T14:41:37+00:00
